customValue,pubkey,foundInMapping,lnaddressFromMapping,nameIfPresent,sourceFile
x3VXZtbcfIBVLIUqzWKV,03a2cb3058309f7a0355b9583fc4347d82b251ee94997aec4d4e5573b181a49657,yes,[object Object],reflex.livewire.io,public/albums-static-cached.json
019YN1dx5XDHYbiEv4ZOyw,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],thetrustedband@fountain.fm,public/albums-static-cached.json
01dor7UwNfuBgODLSMLmWT,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],bit_ish@fountain.fm,public/albums-static-cached.json
aBpWlXR7oKOAYjr21Elk,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Phantom Power Media,public/albums-static-cached.json
01eGrEZbdx77SSOubxYHXG,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],MOOKY,public/albums-static-cached.json
017QzAlPrUpAilQGbKoamA,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],Vicious Clay,public/albums-static-cached.json
N0HNqVxJkVxhBIWWTrFw,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,The Velvicks,public/albums-static-cached.json
01yuixCQUXScQjEkC0G4UY,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user297847567158764@fountain.fm,data/payment-method-analysis.json
01FOUNTAIN,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],Fountain,data/payment-method-analysis.json
01JjLXgeNHn8Kdf25O0Rx3,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],geopoliticsandempire@fountain.fm,data/payment-method-analysis.json
01c7dOrl1N2E1SkNErTOEH,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],wwhowbuhow@fountain.fm,data/payment-method-analysis.json
01Yk9SNwJUDDaUZjpzQMvP,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],projectionbooth@fountain.fm,data/payment-method-analysis.json
wal_fwt0akdkpWfuT,033868c219bdb51a33560d854d500fe7d3898a1ad9e05dd89d0007e11313588500,no,,Podcaster,data/podcast-value-feeds-2025-10-01.json
01awAPgBDNF0BwTDfoDeK4,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user53041075@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01eSLjMCkZCcuDauT0mEXb,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],chatwithelaine@fountain.fm,data/podcast-value-feeds-2025-10-01.json
mabxq7FEr4UcLob1STXP,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,plughitz@getalby.com,data/podcast-value-feeds-2025-10-01.json
01hWwycMJE28hnccWYAfDx,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],billynewman@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01LAQoVHlw3HHHwB3k7Nfl,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],rdk519@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01t3XSUXi3iQ7beExXH6dj,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user19878195@fountain.fm,data/podcast-value-feeds-2025-10-01.json
sMTUI4g4v8hPG7rMfHBj,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Podcast Business Journal,data/podcast-value-feeds-2025-10-01.json
01gmHJq7iq2Bw4Jqmh7q5e,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],combsy@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ZNfO1sVquH7g9RltDjeO,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user19705953@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01yCUdcf0s6yxZwDfVdKIh,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user45380971@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01H8WG13gypUJnJMeC5BIk,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user35302298@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01i8seXrtXwUF4EqSspWhm,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],otrgold@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01VKzIoND5SQAIj54J6Io0,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],johnnymac@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01xK8nXkhCYk7oZHz23wtb,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user88743940@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01eLmhtZ1PV7XwoMZp56VY,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],pavelmacek@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ZcXTW8I6k4wxMjtgAFde,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],foofpod@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01wzDz7HtNsjamQaPXH5aN,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],nikoatwork@fountain.fm,data/podcast-value-feeds-2025-10-01.json
1XNspMU6xVgtQkacIBtW,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,stevewebb@getalby.com,data/podcast-value-feeds-2025-10-01.json
qAHJuqKLmMhTNFualcIj,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,blubrry@getalby.com,data/podcast-value-feeds-2025-10-01.json
wal_VMEvystWERcyo3,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,@yaddielsamper on Fountain,data/podcast-value-feeds-2025-10-01.json
wal_2pSxI4xtgkaSp,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,Fountain,data/podcast-value-feeds-2025-10-01.json
g96UfnRSUQlwKfzLEoB3,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Clip Custodian,data/podcast-value-feeds-2025-10-01.json
mXbAWPOMXmz866ZUJv29,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Geoff Smith - Various Original Songs,data/podcast-value-feeds-2025-10-01.json
gq0Z8b1wEftMkFL4vj7E,03d55f4d4c870577e98ac56605a54c5ed20c8897e41197a068fd61bdb580efaa67,no,,BoostBot,data/podcast-value-feeds-2025-10-01.json
01IMQkt4BFzAiSynxcQQqd,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],boostbot@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01RQC9xatSv5k8YsXizUQa,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user75553888@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wal_Yan4yx8pPj0WY,033868c219bdb51a33560d854d500fe7d3898a1ad9e05dd89d0007e11313588500,no,,LehmanCreations PodcastNamespace Plugin,data/podcast-value-feeds-2025-10-01.json
LBhn7uJPFtwpf6hHDSYB,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,concienciapodcast@getalby.com,data/podcast-value-feeds-2025-10-01.json
qAHJuqKLmMhTNFualcIj,03b8a595e4d8e19efa8faa3fbe2524b0d39f7c812415ff831d38a466a4a1bc888a,yes,[object Object],blubrry@getalby.com,data/podcast-value-feeds-2025-10-01.json
bYi9vbgXZv6lW4wapAY8,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,robsasuke@getalby.com,data/podcast-value-feeds-2025-10-01.json
01rURDmfggrNIDxHBNy4Wd,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],lonelybob@fountain.fm,data/podcast-value-feeds-2025-10-01.json
N5iXxo2slRLPyIDOo9RH,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,scottsykora@getalby.com,data/podcast-value-feeds-2025-10-01.json
cs8eCF1625gnlX4B6dwa,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,talk@getalby.com,data/podcast-value-feeds-2025-10-01.json
01Qvg1hV5fDzfRZDuX81I0,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],ansellindner@fountain.fm,data/podcast-value-feeds-2025-10-01.json
